Marca,Modelo,Ano,Cor,País,Preço (€),Tipo
Ford,Kuga,2019,Cinza,Itália,17946,Novo
BMW,Serie 3,2018,Preto,Espanha,62244,Novo
BMW,X3,2019,Branco,Portugal,43248,Novo
Volkswagen,Polo,2020,Cinza,Espanha,37407,Novo
Mercedes,GLA,2020,Cinza,Reino Unido,34464,Novo
BMW,X3,2019,Azul,Polônia,68939,Novo
Renault,Clio,2019,Cinza,França,25568,Novo
Fiat,Panda,2018,Cinza,Polônia,23077,Novo
Peugeot,5008,2020,Branco,Polônia,28340,Novo
Fiat,500,2022,Preto,Portugal,18630,Novo
Peugeot,308,2019,Vermelho,Polônia,32560,Novo
Renault,Talisman,2019,Vermelho,Portugal,25807,Novo
Mercedes,Classe C,2020,Preto,Alemanha,70426,Novo
Mercedes,GLA,2022,Branco,Itália,65402,Novo
Audi,Q3,2020,Prata,Alemanha,61326,Novo
Peugeot,5008,2020,Branco,Polônia,36192,Novo
BMW,X3,2020,Vermelho,Países Baixos,38141,Novo
Peugeot,308,2021,Branco,França,35878,Novo
Ford,Kuga,2019,Azul,Reino Unido,20193,Novo
Volkswagen,Tiguan,2022,Azul,Polônia,43026,Novo
Renault,Megane,2018,Branco,Portugal,32466,Novo
Fiat,Panda,2022,Cinza,Reino Unido,27621,Novo
Fiat,Panda,2022,Azul,Itália,27975,Novo
Mercedes,Classe C,2022,Azul,Polônia,88056,Novo
Renault,Megane,2020,Verde,Itália,26945,Novo
Mercedes,Classe C,2021,Branco,Itália,61411,Novo
Peugeot,5008,2019,Vermelho,França,20962,Novo
Renault,Megane,2021,Branco,Alemanha,31802,Novo
BMW,Serie 3,2019,Prata,Alemanha,51277,Novo
Ford,Fiesta,2020,Branco,França,32454,Novo
Ford,Mondeo,2020,Vermelho,Países Baixos,23020,Novo
Mercedes,Classe C,2018,Cinza,Itália,67441,Novo
Renault,Talisman,2018,Preto,Espanha,16883,Novo
BMW,X1,2019,Preto,Itália,50682,Novo
Mercedes,Classe C,2019,Cinza,Itália,59823,Novo
Mercedes,Classe A,2022,Azul,Itália,48727,Novo
Renault,Megane,2020,Vermelho,Alemanha,26638,Novo
Renault,Clio,2019,Prata,França,19864,Novo
Ford,Focus,2019,Azul,Portugal,35998,Novo
Ford,Fiesta,2019,Branco,França,25969,Novo
Peugeot,208,2020,Cinza,França,27289,Novo
Mercedes,GLC,2022,Preto,Espanha,33796,Novo
Audi,Q3,2018,Azul,Polônia,54543,Novo
Renault,Clio,2022,Cinza,Polônia,22861,Novo
Audi,Q5,2021,Cinza,Polônia,79975,Novo
Renault,Clio,2022,Cinza,Reino Unido,31931,Novo
Volkswagen,Tiguan,2021,Preto,Alemanha,37804,Novo
Volkswagen,Golf,2021,Branco,Reino Unido,32219,Novo
BMW,X3,2020,Cinza,Reino Unido,49560,Novo
Fiat,Tipo,2021,Cinza,Polônia,22461,Novo
BMW,X1,2020,Branco,Países Baixos,65616,Novo
BMW,X1,2020,Branco,Polônia,41518,Novo
Renault,Captur,2019,Verde,Portugal,34527,Novo
Ford,Mondeo,2019,Preto,Itália,18540,Novo
Ford,Fiesta,2018,Cinza,Polônia,25059,Novo
Volkswagen,Passat,2018,Prata,Países Baixos,26926,Novo
Audi,Q3,2022,Branco,Espanha,78392,Novo
Ford,Mondeo,2019,Cinza,Reino Unido,34983,Novo
Renault,Clio,2019,Prata,Itália,23337,Novo
Volkswagen,Tiguan,2018,Preto,Reino Unido,21357,Novo
Fiat,500,2020,Preto,Polônia,20241,Novo
Fiat,Punto,2022,Preto,França,14623,Novo
Fiat,Panda,2021,Cinza,Reino Unido,12244,Novo
Fiat,Punto,2019,Verde,França,26104,Novo
Ford,Fiesta,2021,Verde,França,19344,Novo
Peugeot,3008,2019,Cinza,Itália,36322,Novo
Audi,Q5,2021,Verde,Itália,73804,Novo
Renault,Captur,2020,Preto,Reino Unido,29372,Novo
Volkswagen,Passat,2020,Preto,Alemanha,39172,Novo
Peugeot,5008,2020,Azul,Polônia,36680,Novo
BMW,X1,2021,Cinza,Polônia,65049,Novo
Audi,A3,2021,Verde,Alemanha,30980,Novo
Renault,Captur,2022,Verde,Portugal,31984,Novo
BMW,Serie 3,2020,Preto,Países Baixos,51410,Novo
Audi,A4,2022,Vermelho,Países Baixos,79879,Novo
Peugeot,3008,2019,Cinza,Polônia,28947,Novo
Ford,Kuga,2020,Azul,França,24840,Novo
Volkswagen,Tiguan,2020,Cinza,Espanha,42248,Novo
Volkswagen,Polo,2019,Cinza,Reino Unido,25318,Novo
Volkswagen,Polo,2020,Preto,França,40078,Novo
Ford,Focus,2018,Cinza,Países Baixos,22535,Novo
Renault,Megane,2022,Cinza,Itália,20625,Novo
Renault,Clio,2019,Cinza,Polônia,28448,Novo
Peugeot,5008,2019,Preto,Reino Unido,27260,Novo
Ford,Kuga,2019,Prata,Alemanha,25921,Novo
Mercedes,GLA,2019,Vermelho,Países Baixos,30002,Novo
Mercedes,GLC,2021,Preto,Países Baixos,43404,Novo
Peugeot,5008,2019,Branco,Alemanha,32769,Novo
Audi,Q5,2018,Branco,Itália,47851,Novo
Mercedes,GLA,2020,Prata,Reino Unido,45376,Novo
Renault,Captur,2019,Azul,Espanha,17951,Novo
Mercedes,Classe A,2019,Preto,Itália,71796,Novo
Ford,Focus,2020,Cinza,Portugal,21454,Novo
Audi,A3,2019,Branco,Alemanha,41045,Novo
Peugeot,3008,2021,Prata,Polônia,28254,Novo
Volkswagen,Golf,2021,Azul,França,19738,Novo
Audi,Q5,2020,Branco,Reino Unido,48455,Novo
Mercedes,Classe A,2019,Branco,Reino Unido,64914,Novo
Volkswagen,Passat,2019,Azul,Polônia,29929,Novo
Audi,Q3,2021,Prata,Portugal,42223,Novo
Peugeot,308,2021,Cinza,Espanha,18495,Novo
Audi,Q3,2019,Branco,Alemanha,76897,Novo
Peugeot,3008,2019,Branco,Reino Unido,35182,Novo
Peugeot,3008,2018,Preto,Itália,27131,Novo
Volkswagen,Tiguan,2018,Cinza,Alemanha,36058,Novo
BMW,X3,2019,Cinza,França,50494,Novo
Volkswagen,Passat,2021,Prata,Portugal,35855,Novo
Volkswagen,Passat,2021,Prata,Polônia,36724,Novo
Ford,Fiesta,2018,Azul,Alemanha,18376,Novo
Mercedes,GLC,2018,Prata,Itália,80313,Novo
Fiat,Punto,2022,Prata,França,22965,Novo
Peugeot,5008,2018,Azul,Itália,30281,Novo
BMW,Serie 1,2020,Azul,Polônia,76889,Novo
Mercedes,Classe A,2021,Verde,França,60644,Novo
Peugeot,208,2022,Preto,Países Baixos,22017,Novo
Volkswagen,Passat,2019,Branco,Países Baixos,35135,Novo
BMW,Serie 5,2020,Branco,França,68609,Novo
Audi,A4,2021,Branco,Polônia,65556,Novo
Renault,Clio,2020,Preto,Polônia,30557,Novo
Fiat,500,2022,Prata,França,17779,Novo
Audi,A3,2018,Vermelho,Reino Unido,77927,Novo
Renault,Captur,2020,Branco,Reino Unido,19205,Novo
BMW,X1,2018,Cinza,Espanha,32991,Novo
Audi,A3,2018,Preto,Itália,54008,Novo
Mercedes,GLC,2021,Azul,Alemanha,39449,Novo
BMW,X1,2021,Cinza,Polônia,33009,Novo
Renault,Megane,2020,Branco,Espanha,16242,Novo
Renault,Clio,2022,Cinza,Reino Unido,26090,Novo
Volkswagen,Polo,2019,Prata,Itália,27461,Novo
Audi,A3,2019,Preto,França,52638,Novo
Fiat,Panda,2021,Preto,Espanha,21378,Novo
Ford,Mondeo,2018,Cinza,Portugal,20238,Novo
Peugeot,308,2021,Cinza,Itália,18925,Novo
Volkswagen,Polo,2021,Cinza,Itália,22894,Novo
Audi,Q3,2021,Cinza,Países Baixos,67763,Novo
Ford,Focus,2021,Cinza,França,17556,Novo
Ford,Focus,2020,Cinza,Polônia,17256,Novo
Peugeot,308,2022,Cinza,França,37200,Novo
Peugeot,308,2022,Branco,Reino Unido,16700,Novo
Renault,Talisman,2020,Prata,Polônia,32308,Novo
Fiat,Punto,2022,Vermelho,Portugal,19483,Novo
Peugeot,5008,2019,Azul,Espanha,22280,Novo
Volkswagen,Passat,2020,Vermelho,Alemanha,36513,Novo
BMW,Serie 5,2021,Cinza,Espanha,35683,Novo
Mercedes,Classe A,2021,Branco,Polônia,81915,Novo
Ford,Focus,2021,Preto,Itália,39035,Novo
Ford,Fiesta,2022,Branco,Países Baixos,17420,Novo
BMW,X1,2020,Cinza,Alemanha,77519,Novo
Renault,Megane,2021,Branco,Países Baixos,16399,Novo
Fiat,Tipo,2022,Preto,Polônia,16691,Novo
Peugeot,208,2018,Prata,Países Baixos,34051,Novo
Audi,Q3,2022,Preto,Itália,39011,Novo
Ford,Mondeo,2020,Verde,Portugal,24206,Novo
Peugeot,308,2020,Preto,França,24191,Novo
BMW,Serie 3,2022,Preto,França,49694,Novo
Volkswagen,Tiguan,2018,Prata,Alemanha,42281,Novo
Fiat,500,2019,Azul,Alemanha,12188,Novo
Volkswagen,Golf,2022,Vermelho,França,35094,Novo
Mercedes,Classe A,2021,Prata,Polônia,64619,Novo
Audi,A3,2018,Vermelho,Reino Unido,64040,Novo
BMW,Serie 3,2020,Branco,Polônia,62375,Novo
Renault,Megane,2020,Cinza,Itália,28097,Novo
Mercedes,GLC,2022,Branco,Alemanha,86826,Novo
Fiat,Tipo,2021,Preto,Reino Unido,21797,Novo
Peugeot,208,2022,Vermelho,Espanha,34915,Novo
Fiat,Panda,2021,Preto,Portugal,22350,Novo
Mercedes,Classe A,2019,Preto,Portugal,73197,Novo
Renault,Captur,2022,Branco,Espanha,29817,Novo
Mercedes,GLA,2018,Preto,Portugal,54640,Novo
Volkswagen,Tiguan,2020,Preto,Itália,32619,Novo
Audi,Q5,2021,Cinza,Alemanha,63328,Novo
Audi,A3,2019,Azul,Alemanha,58764,Novo
Fiat,Panda,2022,Cinza,Alemanha,18916,Novo
BMW,Serie 3,2019,Cinza,Reino Unido,50204,Novo
Fiat,Tipo,2019,Branco,Itália,14286,Novo
Mercedes,GLA,2021,Preto,Países Baixos,81181,Novo
Mercedes,Classe A,2020,Branco,Alemanha,57587,Novo
Ford,Focus,2021,Azul,Alemanha,39553,Novo
Renault,Clio,2021,Preto,Polônia,16654,Novo
BMW,Serie 5,2018,Preto,Espanha,34221,Novo
Renault,Clio,2020,Cinza,Alemanha,23609,Novo
Renault,Megane,2021,Prata,Reino Unido,29080,Novo
Renault,Captur,2018,Azul,Itália,17264,Novo
Ford,Mondeo,2019,Branco,Reino Unido,23461,Novo
Audi,A3,2019,Vermelho,Reino Unido,38244,Novo
Audi,Q3,2021,Branco,Alemanha,69637,Novo
Peugeot,5008,2022,Preto,Alemanha,36526,Novo
BMW,X3,2019,Cinza,Itália,74449,Novo
Mercedes,Classe A,2018,Cinza,Itália,52894,Novo
Ford,Kuga,2019,Branco,Polônia,31465,Novo
Volkswagen,Tiguan,2022,Preto,Países Baixos,18297,Novo
Peugeot,308,2019,Cinza,Espanha,35600,Novo
BMW,Serie 3,2021,Cinza,Alemanha,39672,Novo
Volkswagen,Polo,2022,Cinza,Espanha,24878,Novo
Renault,Talisman,2021,Cinza,Alemanha,22823,Novo
Volkswagen,Polo,2019,Branco,Itália,41891,Novo
Volkswagen,Tiguan,2021,Azul,Alemanha,26399,Novo
Fiat,Panda,2019,Cinza,Espanha,15008,Novo
Audi,Q3,2020,Preto,Itália,61856,Novo
Renault,Talisman,2018,Azul,Reino Unido,32399,Novo
BMW,X1,2020,Branco,Itália,67935,Novo
Volkswagen,Tiguan,2020,Prata,Países Baixos,42980,Novo
BMW,Serie 3,2020,Cinza,Espanha,54376,Novo
Mercedes,GLA,2020,Preto,França,69132,Novo
Volkswagen,Tiguan,2022,Preto,Reino Unido,32047,Novo
Audi,A4,2020,Branco,Espanha,84245,Novo
Audi,Q3,2022,Preto,Países Baixos,60309,Novo
Renault,Clio,2018,Branco,Polônia,22082,Novo
Audi,Q3,2018,Cinza,Portugal,67637,Novo
Mercedes,GLA,2020,Azul,Países Baixos,63151,Novo
Audi,A4,2020,Cinza,Portugal,76546,Novo
BMW,Serie 1,2020,Vermelho,Polônia,62010,Novo
BMW,X3,2022,Branco,Espanha,34562,Novo
Fiat,Panda,2018,Cinza,Alemanha,26864,Novo
Peugeot,5008,2021,Cinza,Itália,35293,Novo
Volkswagen,Golf,2019,Cinza,Itália,37552,Novo
Fiat,Panda,2018,Cinza,Itália,12576,Novo
Mercedes,Classe A,2019,Azul,Portugal,53848,Novo
Volkswagen,Tiguan,2020,Branco,Espanha,22241,Novo
Mercedes,GLC,2021,Azul,Itália,59882,Novo
BMW,X1,2020,Branco,Itália,53383,Novo
Volkswagen,Polo,2021,Verde,Espanha,44218,Novo
Ford,Kuga,2019,Preto,Países Baixos,18352,Novo
Audi,A3,2018,Azul,Polônia,79376,Novo
Mercedes,Classe C,2018,Preto,Portugal,41425,Novo
Ford,Mondeo,2020,Preto,Polônia,23746,Novo
Ford,Focus,2019,Prata,Itália,17732,Novo
Fiat,Tipo,2022,Azul,Itália,13825,Novo
Renault,Megane,2022,Preto,Países Baixos,24418,Novo
Renault,Talisman,2021,Prata,Reino Unido,25333,Novo
Volkswagen,Tiguan,2019,Prata,Reino Unido,38191,Novo
Renault,Captur,2019,Branco,Portugal,28743,Novo
Audi,A4,2021,Cinza,Reino Unido,61389,Novo
BMW,X3,2018,Cinza,Espanha,48470,Novo
Ford,Mondeo,2019,Vermelho,Alemanha,17878,Novo
Ford,Kuga,2021,Azul,Espanha,36623,Novo
Ford,Kuga,2020,Verde,Itália,37005,Novo
Volkswagen,Tiguan,2021,Cinza,Polônia,36471,Novo
Mercedes,Classe C,2018,Vermelho,Itália,33230,Novo
Ford,Kuga,2020,Branco,Alemanha,25984,Novo
Mercedes,Classe A,2019,Preto,França,78839,Novo
Ford,Fiesta,2021,Branco,Polônia,22429,Novo
Renault,Clio,2018,Branco,Espanha,33614,Novo
Fiat,Tipo,2020,Branco,Países Baixos,18161,Novo
Mercedes,Classe A,2022,Prata,Polônia,38899,Novo
Fiat,500,2019,Preto,Alemanha,15059,Novo
BMW,X3,2021,Preto,Alemanha,43862,Novo
Peugeot,3008,2018,Azul,Reino Unido,16771,Novo
Peugeot,308,2019,Preto,Itália,19925,Novo
Volkswagen,Golf,2020,Preto,França,23001,Novo
Volkswagen,Golf,2020,Azul,Itália,34381,Novo
Renault,Megane,2022,Branco,França,31034,Novo
Mercedes,Classe C,2020,Cinza,Itália,61098,Novo
Ford,Mondeo,2021,Vermelho,Espanha,29258,Novo
Volkswagen,Tiguan,2018,Preto,Itália,43123,Novo
Audi,Q3,2020,Preto,França,48632,Novo
Volkswagen,Tiguan,2022,Cinza,Polônia,41266,Novo
BMW,X1,2022,Cinza,Países Baixos,48425,Novo
Mercedes,GLA,2021,Cinza,Alemanha,85210,Novo
Volkswagen,Polo,2022,Prata,Itália,28252,Novo
BMW,X3,2022,Cinza,França,53458,Novo
Volkswagen,Passat,2020,Cinza,Países Baixos,32943,Novo
Ford,Fiesta,2021,Azul,Espanha,25291,Novo
Ford,Kuga,2019,Preto,Alemanha,22718,Novo
BMW,Serie 5,2018,Branco,Polônia,42952,Novo
Mercedes,GLA,2019,Preto,Itália,54145,Novo
Volkswagen,Passat,2021,Preto,França,18580,Novo
BMW,Serie 3,2018,Azul,França,41274,Novo
Audi,Q3,2018,Cinza,Polônia,37740,Novo
BMW,Serie 3,2021,Branco,Espanha,60773,Novo
Fiat,Tipo,2018,Preto,Reino Unido,26568,Novo
Audi,Q5,2018,Azul,Polônia,74478,Novo
Peugeot,308,2019,Preto,Itália,32506,Novo
Volkswagen,Passat,2018,Vermelho,Espanha,40836,Novo
Renault,Clio,2021,Prata,França,28782,Novo
Audi,A3,2018,Branco,França,84707,Novo
Mercedes,Classe A,2022,Cinza,Alemanha,43908,Novo
BMW,Serie 3,2020,Preto,França,54153,Novo
Peugeot,3008,2018,Cinza,Portugal,18373,Novo
Mercedes,Classe C,2021,Vermelho,Itália,30615,Novo
Volkswagen,Polo,2022,Prata,Alemanha,19099,Novo
Peugeot,5008,2020,Cinza,Polônia,33560,Novo
Renault,Talisman,2021,Cinza,Portugal,25642,Novo
Peugeot,208,2018,Preto,Países Baixos,28614,Novo
Peugeot,208,2021,Preto,Países Baixos,18650,Novo
BMW,Serie 5,2019,Azul,Espanha,72093,Novo
Mercedes,GLC,2021,Cinza,Espanha,80585,Novo
Fiat,Punto,2018,Vermelho,França,19805,Novo
BMW,Serie 1,2022,Branco,Espanha,68617,Novo
Volkswagen,Passat,2020,Cinza,Alemanha,33834,Novo
Renault,Talisman,2019,Cinza,França,19672,Novo
BMW,Serie 3,2020,Prata,Polônia,34682,Novo
Mercedes,Classe A,2019,Azul,Itália,41471,Novo
Renault,Clio,2022,Verde,Portugal,19297,Novo
Fiat,Panda,2018,Preto,Espanha,24529,Novo
Renault,Clio,2022,Preto,Itália,34910,Novo
Peugeot,5008,2018,Cinza,Reino Unido,24048,Novo
Audi,A4,2022,Cinza,Itália,30852,Novo
Fiat,Punto,2018,Prata,Portugal,22752,Novo
Peugeot,5008,2021,Cinza,Itália,17347,Novo
Mercedes,GLA,2022,Vermelho,Polônia,65322,Novo
Renault,Talisman,2021,Vermelho,Itália,21650,Novo
Fiat,Punto,2020,Azul,Espanha,26952,Novo
Audi,A3,2021,Preto,Portugal,47102,Novo
Mercedes,GLC,2019,Branco,Países Baixos,38846,Novo
Audi,A3,2018,Prata,Portugal,45076,Novo
Volkswagen,Tiguan,2022,Prata,Reino Unido,22314,Novo
Ford,Fiesta,2020,Azul,França,23716,Novo
Peugeot,308,2018,Branco,Alemanha,17168,Novo
Fiat,Tipo,2018,Vermelho,Polônia,17583,Novo
Audi,A3,2019,Verde,Espanha,44768,Novo
Volkswagen,Polo,2019,Cinza,França,44580,Novo
Renault,Talisman,2018,Vermelho,Itália,32442,Novo
Audi,A4,2021,Cinza,Itália,61256,Novo
BMW,Serie 3,2019,Prata,Espanha,69771,Novo
Renault,Clio,2020,Preto,Espanha,26798,Novo
Ford,Focus,2020,Prata,Espanha,27245,Novo
Volkswagen,Passat,2022,Cinza,Polônia,24182,Novo
Ford,Focus,2022,Preto,Itália,18096,Novo
Ford,Mondeo,2019,Branco,Polônia,25424,Novo
BMW,Serie 1,2022,Branco,Polônia,52887,Novo
Ford,Focus,2022,Preto,Alemanha,31810,Novo
Mercedes,Classe C,2022,Azul,Alemanha,35171,Novo
Renault,Megane,2018,Preto,Espanha,28973,Novo
Fiat,Tipo,2022,Preto,Polônia,13346,Novo
BMW,Serie 5,2022,Cinza,Espanha,67511,Novo
Mercedes,Classe C,2021,Azul,França,60976,Novo
Peugeot,208,2021,Azul,Alemanha,21823,Novo
Fiat,500,2022,Azul,Alemanha,26241,Novo
BMW,X1,2019,Verde,Polônia,55305,Novo
Audi,A4,2020,Prata,Polônia,53500,Novo
Volkswagen,Polo,2018,Prata,Espanha,32507,Novo
Fiat,500,2018,Vermelho,França,19498,Novo
Fiat,500,2021,Azul,Reino Unido,20222,Novo
Peugeot,208,2018,Prata,Portugal,37786,Novo
BMW,Serie 3,2021,Branco,Reino Unido,48546,Novo
Audi,A3,2018,Vermelho,Itália,45074,Novo
Volkswagen,Tiguan,2021,Cinza,Espanha,39533,Novo
Mercedes,GLC,2018,Azul,França,82059,Novo
Fiat,500,2018,Cinza,Reino Unido,18486,Novo
Mercedes,GLC,2022,Preto,Polônia,30150,Novo
Volkswagen,Golf,2019,Cinza,Espanha,42167,Novo
Peugeot,208,2020,Branco,Países Baixos,37300,Novo
Volkswagen,Polo,2020,Vermelho,Portugal,34621,Novo
Mercedes,GLA,2020,Preto,Itália,88893,Novo
Fiat,Panda,2022,Preto,França,27435,Novo
Peugeot,3008,2018,Cinza,Itália,38784,Novo
Peugeot,5008,2021,Preto,França,38062,Novo
Renault,Megane,2019,Verde,Espanha,16177,Novo
Peugeot,308,2018,Prata,Países Baixos,29339,Novo
Volkswagen,Tiguan,2018,Prata,Países Baixos,24337,Novo
Mercedes,Classe C,2021,Cinza,Países Baixos,40340,Novo
Mercedes,GLA,2020,Cinza,Países Baixos,77141,Novo
Peugeot,3008,2018,Branco,Reino Unido,37830,Novo
Mercedes,GLC,2019,Preto,Reino Unido,86549,Novo
Mercedes,Classe C,2022,Azul,Países Baixos,77623,Novo
Audi,Q5,2022,Preto,França,77172,Novo
Mercedes,Classe A,2020,Preto,Portugal,58878,Novo
Volkswagen,Tiguan,2018,Azul,França,22356,Novo
Peugeot,208,2022,Azul,França,19307,Novo
Mercedes,Classe A,2019,Azul,Portugal,80645,Novo
Ford,Fiesta,2022,Vermelho,Países Baixos,38425,Novo
Peugeot,308,2020,Azul,Alemanha,32275,Novo
Renault,Megane,2020,Cinza,França,19903,Novo
Volkswagen,Golf,2018,Branco,Espanha,19030,Novo
Mercedes,GLA,2019,Verde,Alemanha,64987,Novo
Ford,Kuga,2020,Branco,Espanha,17812,Novo
Peugeot,308,2022,Cinza,Polônia,29798,Novo
Ford,Mondeo,2020,Prata,Países Baixos,26622,Novo
Mercedes,Classe A,2019,Verde,Polônia,65918,Novo
Peugeot,5008,2020,Preto,Países Baixos,28654,Novo
Mercedes,Classe A,2019,Prata,Países Baixos,49682,Novo
Peugeot,3008,2022,Prata,França,30796,Novo
Audi,A4,2020,Vermelho,Espanha,70511,Novo
Mercedes,GLC,2018,Preto,Alemanha,50296,Novo
Ford,Mondeo,2022,Branco,Países Baixos,26360,Novo
Renault,Clio,2018,Vermelho,Países Baixos,15898,Novo
Peugeot,308,2022,Cinza,Espanha,19009,Novo
Renault,Talisman,2020,Cinza,Itália,25815,Novo
Audi,Q5,2021,Azul,Portugal,77804,Novo
Mercedes,Classe C,2019,Vermelho,Polônia,67413,Novo
BMW,Serie 5,2022,Azul,Países Baixos,60362,Novo
Peugeot,5008,2022,Cinza,França,32337,Novo
Renault,Megane,2020,Preto,Polônia,28897,Novo
Peugeot,5008,2018,Preto,Itália,29193,Novo
Renault,Clio,2021,Preto,Países Baixos,22504,Novo
Volkswagen,Passat,2022,Cinza,Reino Unido,21715,Novo
Fiat,Tipo,2019,Cinza,Itália,26201,Novo
Mercedes,GLA,2019,Preto,Polônia,40325,Novo
Renault,Megane,2022,Verde,Países Baixos,33738,Novo
Ford,Mondeo,2020,Preto,Países Baixos,30058,Novo
Fiat,Panda,2020,Vermelho,Itália,25190,Novo
Audi,A3,2022,Verde,Alemanha,38645,Novo
Audi,A3,2021,Cinza,Polônia,82425,Novo
Audi,Q5,2018,Branco,Itália,56888,Novo
Audi,Q5,2020,Prata,Países Baixos,61724,Novo
Fiat,500,2022,Branco,França,13607,Novo
Renault,Clio,2019,Vermelho,França,25878,Novo
Audi,A4,2021,Prata,Países Baixos,68243,Novo
Audi,A3,2021,Vermelho,França,83529,Novo
Mercedes,Classe C,2019,Prata,Itália,32982,Novo
Renault,Talisman,2018,Verde,Reino Unido,22515,Novo
Ford,Focus,2020,Branco,Alemanha,36114,Novo
Peugeot,5008,2022,Preto,Polônia,27065,Novo
Volkswagen,Golf,2018,Prata,Países Baixos,37668,Novo
Mercedes,GLA,2018,Preto,Reino Unido,66555,Novo
Fiat,Punto,2018,Cinza,Reino Unido,17001,Novo
Ford,Focus,2021,Cinza,Portugal,30164,Novo
Fiat,Tipo,2018,Preto,Portugal,18333,Novo
Ford,Fiesta,2021,Prata,Alemanha,29261,Novo
Audi,Q5,2022,Prata,Portugal,42467,Novo
Ford,Mondeo,2018,Branco,Itália,32090,Novo
Fiat,Punto,2022,Azul,Países Baixos,25449,Novo
Peugeot,3008,2021,Cinza,Portugal,24992,Novo
Ford,Mondeo,2021,Vermelho,França,28091,Novo
Mercedes,GLC,2020,Branco,Reino Unido,60611,Novo
Renault,Talisman,2018,Preto,Reino Unido,19672,Novo
BMW,Serie 5,2022,Branco,Portugal,68074,Novo
Peugeot,5008,2019,Vermelho,Espanha,35728,Novo
Mercedes,Classe A,2021,Vermelho,Reino Unido,76899,Novo
Fiat,Tipo,2020,Preto,Reino Unido,18440,Novo
Ford,Fiesta,2022,Cinza,Polônia,32602,Novo
Renault,Talisman,2018,Branco,Itália,21403,Novo
BMW,Serie 5,2018,Cinza,Itália,66976,Novo
Mercedes,GLA,2019,Prata,Polônia,89531,Novo
Renault,Talisman,2020,Preto,França,18515,Novo
Mercedes,GLC,2020,Preto,Reino Unido,51408,Novo
Peugeot,3008,2018,Branco,Portugal,16040,Novo
Mercedes,GLC,2018,Azul,França,87732,Novo
Renault,Talisman,2020,Branco,Espanha,34357,Novo
Ford,Focus,2022,Cinza,Portugal,20880,Novo
Volkswagen,Polo,2018,Branco,Polônia,31990,Novo
Volkswagen,Polo,2021,Branco,Reino Unido,38519,Novo
Fiat,Panda,2021,Vermelho,Espanha,17262,Novo
Volkswagen,Passat,2020,Vermelho,Itália,34948,Novo
Mercedes,Classe C,2021,Vermelho,Portugal,32532,Novo
Fiat,500,2018,Azul,Reino Unido,15877,Novo
Audi,A4,2018,Prata,França,83185,Novo
Peugeot,208,2022,Preto,Reino Unido,27678,Novo
Audi,A4,2019,Azul,França,51514,Novo
Mercedes,Classe A,2022,Prata,França,38993,Novo
Peugeot,5008,2022,Azul,Itália,36421,Novo
Ford,Fiesta,2020,Preto,França,36155,Novo
Peugeot,208,2018,Prata,Espanha,37644,Novo
Mercedes,GLC,2020,Preto,Itália,81670,Novo
Peugeot,5008,2020,Prata,Reino Unido,32294,Novo
Peugeot,3008,2019,Branco,Polônia,31040,Novo
Fiat,Panda,2020,Branco,Espanha,23258,Novo
Volkswagen,Golf,2019,Preto,França,22545,Novo
Fiat,Tipo,2020,Vermelho,Espanha,12502,Novo
Volkswagen,Passat,2019,Preto,França,32546,Novo
Mercedes,Classe C,2020,Preto,Espanha,72598,Novo
Renault,Captur,2019,Vermelho,Polônia,30711,Novo
Volkswagen,Tiguan,2018,Vermelho,Espanha,20049,Novo
Ford,Kuga,2022,Branco,Países Baixos,36269,Novo
Renault,Clio,2022,Preto,França,22554,Novo
Mercedes,GLC,2022,Prata,Espanha,79985,Novo
Renault,Clio,2020,Verde,Reino Unido,21767,Novo
BMW,X3,2022,Prata,Alemanha,34782,Novo
Mercedes,Classe A,2018,Azul,Reino Unido,47438,Novo
Peugeot,308,2019,Vermelho,França,22686,Novo
Ford,Kuga,2019,Preto,Alemanha,25975,Novo
BMW,Serie 1,2018,Preto,Alemanha,67013,Novo
Peugeot,208,2018,Azul,Reino Unido,38187,Novo
Mercedes,Classe C,2022,Cinza,Espanha,89331,Novo
Ford,Focus,2021,Azul,Reino Unido,24359,Novo
Peugeot,5008,2020,Branco,Polônia,20822,Novo
BMW,X3,2022,Preto,França,50818,Novo
Mercedes,Classe C,2021,Preto,Portugal,75768,Novo
Fiat,Tipo,2019,Branco,Itália,22340,Novo
BMW,Serie 3,2018,Prata,Espanha,68824,Novo
Ford,Focus,2022,Preto,Polônia,38195,Novo
Ford,Fiesta,2021,Branco,Países Baixos,26690,Novo
Mercedes,Classe A,2018,Azul,Alemanha,31182,Novo
Ford,Mondeo,2021,Azul,Países Baixos,37863,Novo
Peugeot,3008,2021,Preto,Itália,38238,Novo
Peugeot,5008,2020,Branco,França,24370,Novo
Mercedes,GLA,2019,Prata,Portugal,47908,Novo
Mercedes,GLA,2018,Preto,Reino Unido,73022,Novo
Audi,A4,2018,Cinza,Alemanha,39357,Novo
Volkswagen,Polo,2020,Preto,França,44777,Novo
Mercedes,GLA,2020,Preto,Portugal,74898,Novo
Peugeot,5008,2018,Prata,Espanha,29845,Novo
BMW,Serie 5,2018,Preto,França,67696,Novo
Ford,Focus,2022,Branco,França,25351,Novo
Peugeot,308,2018,Cinza,França,39528,Novo
Renault,Captur,2019,Cinza,Países Baixos,22275,Novo
Volkswagen,Passat,2018,Preto,Itália,44969,Novo
