Marca,Modelo,Ano,Cor,País,Preço (€),Quilometragem (km),Tipo
Mercedes,Classe A,2013,Preto,Portugal,26592,163346,Usado
Volkswagen,Passat,2013,Vermelho,Alemanha,20186,109438,Usado
Mercedes,GLA,2003,Preto,Países Baixos,14120,150747,Usado
Renault,Clio,2006,Preto,Países Baixos,28258,8058,Usado
BMW,Serie 1,2021,Vermelho,Espanha,28056,140109,Usado
Mercedes,GLA,2000,Vermelho,Itália,13166,67840,Usado
Audi,A4,2002,Vermelho,Itália,36026,138491,Usado
Fiat,500,2008,Branco,Espanha,54304,162097,Usado
Peugeot,208,2013,Cinza,Portugal,5314,132931,Usado
Fiat,Tipo,2004,Vermelho,Portugal,11014,56479,Usado
Peugeot,5008,2007,Vermelho,Portugal,57045,81863,Usado
Audi,A3,2005,Branco,Reino Unido,8559,24583,Usado
Fiat,Panda,2006,Cinza,França,14786,21767,Usado
Mercedes,GLA,2006,Cinza,Itália,44578,186243,Usado
Volkswagen,Polo,2012,Prata,Polônia,39385,21447,Usado
Volkswagen,Passat,2008,Branco,Espanha,39573,215607,Usado
Renault,Megane,2010,Preto,Portugal,4859,182825,Usado
BMW,Serie 1,2016,Branco,Alemanha,8517,149643,Usado
Fiat,Tipo,2017,Vermelho,Reino Unido,28864,15410,Usado
Renault,Clio,2011,Preto,Alemanha,24063,148120,Usado
Peugeot,208,2019,Preto,Portugal,46148,65748,Usado
Audi,A4,2012,Branco,Polônia,59370,222577,Usado
Renault,Megane,2013,Preto,Portugal,28728,210174,Usado
Volkswagen,Passat,2000,Azul,Espanha,51622,124981,Usado
Peugeot,308,2007,Cinza,Itália,37518,81328,Usado
Audi,Q5,2006,Branco,Espanha,12706,156280,Usado
BMW,X1,2021,Branco,Reino Unido,21745,121654,Usado
Peugeot,5008,2007,Cinza,Reino Unido,24016,234769,Usado
Renault,Talisman,2015,Branco,Alemanha,42816,127250,Usado
Mercedes,GLA,2012,Azul,Itália,28656,86602,Usado
BMW,Serie 3,2019,Vermelho,Polônia,17069,216909,Usado
Renault,Megane,2001,Branco,Países Baixos,26393,194741,Usado
Volkswagen,Passat,2019,Azul,Alemanha,40652,85109,Usado
Audi,A4,2012,Cinza,Reino Unido,33610,10274,Usado
Ford,Kuga,2006,Prata,Países Baixos,40446,200446,Usado
Renault,Talisman,2016,Azul,Espanha,26218,197032,Usado
Peugeot,5008,2009,Cinza,Alemanha,59580,88317,Usado
Audi,A3,2008,Cinza,Reino Unido,10898,102783,Usado
Renault,Captur,2011,Verde,Alemanha,11967,124254,Usado
BMW,Serie 5,2020,Preto,Alemanha,54243,121932,Usado
Mercedes,Classe A,2014,Preto,Países Baixos,13002,128668,Usado
Renault,Captur,2007,Vermelho,Itália,57525,56747,Usado
Mercedes,Classe C,2009,Verde,Reino Unido,42393,134495,Usado
Audi,Q5,2020,Cinza,Itália,8281,57973,Usado
BMW,X1,2015,Prata,Alemanha,13304,17862,Usado
Renault,Clio,2011,Preto,Portugal,57800,212042,Usado
Mercedes,Classe C,2002,Prata,Reino Unido,32876,51873,Usado
Peugeot,208,2018,Cinza,Itália,12465,77422,Usado
Peugeot,5008,2001,Preto,Itália,46346,110218,Usado
Mercedes,Classe C,2005,Cinza,Reino Unido,36818,39920,Usado
Ford,Focus,2015,Cinza,Espanha,57939,81876,Usado
BMW,Serie 3,2001,Preto,Polônia,23287,209118,Usado
Volkswagen,Polo,2010,Branco,Polônia,20165,221560,Usado
Renault,Megane,2008,Vermelho,Países Baixos,7945,100727,Usado
BMW,Serie 5,2003,Vermelho,Itália,42158,38316,Usado
Peugeot,3008,2022,Branco,Alemanha,21784,167494,Usado
Mercedes,GLC,2021,Azul,Alemanha,5621,199036,Usado
Audi,A4,2002,Preto,Portugal,48794,5542,Usado
Renault,Captur,2014,Azul,Itália,59164,81473,Usado
Mercedes,Classe A,2021,Branco,Alemanha,13421,248841,Usado
Fiat,Tipo,2002,Azul,Alemanha,9310,173320,Usado
Ford,Kuga,2005,Vermelho,Reino Unido,6536,184982,Usado
Fiat,500,2009,Cinza,Polônia,34738,243935,Usado
BMW,Serie 5,2020,Cinza,França,15349,34377,Usado
Volkswagen,Tiguan,2018,Preto,Itália,26319,119928,Usado
Peugeot,3008,2008,Cinza,Itália,49728,123627,Usado
Ford,Kuga,2009,Branco,Reino Unido,42715,44669,Usado
Peugeot,3008,2002,Preto,Portugal,48498,72266,Usado
Ford,Mondeo,2013,Branco,Itália,3911,99278,Usado
Volkswagen,Passat,2007,Vermelho,Alemanha,55219,241397,Usado
Ford,Kuga,2003,Prata,Alemanha,40100,182980,Usado
Ford,Mondeo,2020,Azul,Itália,18290,25481,Usado
BMW,Serie 1,2015,Vermelho,França,53728,168741,Usado
Mercedes,GLA,2022,Vermelho,Reino Unido,12571,191139,Usado
BMW,Serie 3,2017,Vermelho,Portugal,10106,240289,Usado
Audi,A3,2006,Preto,Países Baixos,39410,67723,Usado
Ford,Fiesta,2014,Branco,França,35516,61355,Usado
Mercedes,GLC,2014,Branco,Espanha,43734,119915,Usado
Volkswagen,Passat,2016,Vermelho,Alemanha,12942,139795,Usado
BMW,Serie 1,2020,Branco,Alemanha,6795,35991,Usado
Peugeot,3008,2017,Vermelho,Alemanha,49348,61891,Usado
Renault,Clio,2011,Branco,Alemanha,15674,77213,Usado
Peugeot,3008,2020,Branco,Espanha,36133,10911,Usado
Fiat,Panda,2004,Branco,França,33618,20541,Usado
Volkswagen,Tiguan,2006,Preto,Polônia,56413,73463,Usado
Ford,Mondeo,2012,Azul,Portugal,28599,223293,Usado
Mercedes,Classe C,2020,Preto,França,5075,140100,Usado
BMW,X1,2010,Verde,Alemanha,25354,140369,Usado
Peugeot,3008,2001,Branco,Polônia,48945,226865,Usado
Renault,Captur,2021,Preto,Espanha,52515,51315,Usado
Ford,Kuga,2007,Preto,Polônia,52730,116803,Usado
Renault,Clio,2018,Cinza,França,9635,7972,Usado
BMW,Serie 5,2017,Azul,Portugal,9487,214253,Usado
Fiat,Punto,2017,Preto,Reino Unido,4804,154443,Usado
Peugeot,3008,2003,Preto,Alemanha,3352,158672,Usado
Audi,A3,2002,Preto,França,57721,69991,Usado
Mercedes,Classe A,2001,Vermelho,Espanha,35360,22005,Usado
Mercedes,GLC,2013,Cinza,Espanha,37670,234266,Usado
Fiat,Panda,2020,Cinza,Polônia,27221,107384,Usado
BMW,X3,2008,Vermelho,Reino Unido,16525,153667,Usado
Ford,Focus,2000,Cinza,Espanha,27354,213527,Usado
Peugeot,3008,2012,Prata,Alemanha,19746,73976,Usado
Fiat,Panda,2002,Azul,Países Baixos,30567,176731,Usado
Fiat,Punto,2001,Cinza,Países Baixos,26506,182811,Usado
Fiat,500,2022,Branco,Polônia,36058,128051,Usado
Audi,A3,2020,Azul,Alemanha,55318,164624,Usado
BMW,Serie 1,2000,Cinza,Polônia,47939,196837,Usado
Ford,Fiesta,2017,Azul,Itália,52180,135686,Usado
Ford,Fiesta,2013,Preto,Espanha,31773,133261,Usado
Ford,Mondeo,2000,Verde,Alemanha,48122,213022,Usado
Peugeot,308,2012,Verde,Reino Unido,12565,30203,Usado
Ford,Kuga,2012,Preto,Reino Unido,8811,82089,Usado
BMW,Serie 5,2010,Vermelho,Países Baixos,12468,46375,Usado
Volkswagen,Passat,2021,Preto,Países Baixos,5012,132155,Usado
Audi,A4,2021,Branco,Países Baixos,48996,231716,Usado
Peugeot,5008,2017,Verde,Itália,12995,104257,Usado
Mercedes,GLC,2017,Cinza,Países Baixos,26421,87828,Usado
Renault,Talisman,2009,Cinza,Portugal,8966,227233,Usado
Fiat,Tipo,2005,Azul,França,6538,128146,Usado
Mercedes,GLA,2022,Vermelho,Alemanha,29744,27952,Usado
Peugeot,5008,2002,Azul,Itália,40046,200690,Usado
Mercedes,GLA,2016,Cinza,Portugal,53951,226306,Usado
Ford,Kuga,2018,Branco,Polônia,18586,213840,Usado
Ford,Mondeo,2007,Preto,Espanha,8894,25525,Usado
Fiat,Panda,2011,Preto,Alemanha,53350,162098,Usado
Audi,Q5,2012,Cinza,Polônia,58982,112659,Usado
Ford,Kuga,2017,Cinza,Espanha,53826,6591,Usado
Volkswagen,Polo,2004,Prata,Alemanha,59713,108863,Usado
Fiat,Tipo,2021,Branco,Polônia,19549,116671,Usado
Audi,A4,2003,Preto,Polônia,12567,122841,Usado
Renault,Megane,2001,Preto,Itália,39625,244763,Usado
Audi,A4,2019,Branco,França,45285,45806,Usado
BMW,X1,2017,Azul,Polônia,26887,24021,Usado
Renault,Clio,2005,Branco,Reino Unido,29365,101936,Usado
Audi,A3,2020,Branco,Polônia,46856,157499,Usado
Peugeot,5008,2021,Cinza,França,18076,75180,Usado
Audi,A3,2002,Cinza,Reino Unido,25907,105166,Usado
Mercedes,Classe C,2007,Branco,Polônia,15294,214824,Usado
Volkswagen,Golf,2006,Vermelho,Espanha,25854,31033,Usado
Fiat,Tipo,2014,Prata,Itália,59282,55812,Usado
Mercedes,Classe A,2022,Cinza,Países Baixos,7098,225091,Usado
Volkswagen,Passat,2010,Cinza,Polônia,4973,219015,Usado
Ford,Mondeo,2016,Verde,Países Baixos,21914,129789,Usado
Mercedes,GLC,2001,Preto,Espanha,10825,45450,Usado
Renault,Megane,2001,Azul,Portugal,20693,136041,Usado
Ford,Fiesta,2018,Prata,Espanha,25013,54149,Usado
Volkswagen,Golf,2010,Preto,Alemanha,57117,167496,Usado
BMW,Serie 1,2000,Branco,Reino Unido,36361,118552,Usado
Ford,Mondeo,2018,Cinza,Espanha,24677,197857,Usado
Mercedes,GLA,2008,Cinza,Alemanha,6822,209362,Usado
Audi,A4,2008,Azul,Reino Unido,33172,26360,Usado
BMW,Serie 1,2013,Verde,Espanha,51297,76626,Usado
Fiat,Panda,2002,Cinza,França,58545,47362,Usado
Fiat,Punto,2016,Prata,França,18848,246755,Usado
Peugeot,5008,2021,Preto,Itália,35091,109931,Usado
BMW,X1,2007,Cinza,Países Baixos,54096,183638,Usado
Fiat,500,2001,Branco,Reino Unido,5646,104133,Usado
Audi,Q5,2017,Azul,Reino Unido,29758,130790,Usado
Fiat,500,2021,Preto,Portugal,3786,236925,Usado
Audi,Q3,2011,Branco,Portugal,13659,221600,Usado
Volkswagen,Tiguan,2020,Preto,Alemanha,57353,15346,Usado
Mercedes,GLA,2016,Prata,França,42197,26100,Usado
Fiat,500,2010,Vermelho,Espanha,15626,226404,Usado
Fiat,Tipo,2016,Preto,Polônia,5652,82678,Usado
Mercedes,GLC,2017,Cinza,Espanha,59613,83999,Usado
Audi,A4,2003,Cinza,Países Baixos,13560,92129,Usado
Volkswagen,Tiguan,2016,Azul,Alemanha,4757,39024,Usado
Volkswagen,Polo,2011,Vermelho,Portugal,30625,216323,Usado
Volkswagen,Golf,2020,Branco,Portugal,29782,241348,Usado
Audi,Q3,2010,Branco,Países Baixos,31753,211269,Usado
Volkswagen,Polo,2017,Branco,Espanha,17083,36606,Usado
Renault,Clio,2005,Vermelho,Reino Unido,45131,146949,Usado
Volkswagen,Tiguan,2020,Branco,Reino Unido,11478,50923,Usado
Volkswagen,Golf,2007,Azul,Espanha,8932,85238,Usado
Peugeot,5008,2017,Preto,Espanha,34687,195413,Usado
Volkswagen,Polo,2019,Branco,Reino Unido,22138,35447,Usado
Audi,Q3,2005,Preto,Espanha,18300,173196,Usado
Mercedes,GLC,2004,Prata,Alemanha,9583,17487,Usado
Renault,Captur,2005,Vermelho,Reino Unido,58500,229108,Usado
Volkswagen,Golf,2004,Preto,Itália,3508,33531,Usado
BMW,Serie 3,2015,Vermelho,Espanha,29552,34812,Usado
Mercedes,Classe C,2018,Cinza,Reino Unido,6858,221099,Usado
Ford,Fiesta,2004,Azul,Polônia,41373,165509,Usado
Mercedes,GLA,2014,Branco,Itália,3175,225062,Usado
Fiat,500,2008,Preto,Países Baixos,58090,99240,Usado
Renault,Clio,2017,Preto,Polônia,14966,235165,Usado
Volkswagen,Polo,2020,Preto,Reino Unido,22353,210840,Usado
Audi,Q5,2016,Vermelho,Polônia,44957,16036,Usado
BMW,Serie 5,2007,Branco,Espanha,43727,94627,Usado
Audi,A4,2004,Branco,Reino Unido,35222,7593,Usado
Mercedes,Classe C,2007,Branco,Países Baixos,44881,248136,Usado
Volkswagen,Passat,2015,Prata,Alemanha,14801,244877,Usado
Audi,A3,2016,Azul,Reino Unido,49512,203110,Usado
Ford,Fiesta,2017,Cinza,Espanha,59532,127164,Usado
Fiat,Panda,2005,Preto,Países Baixos,28376,156876,Usado
BMW,Serie 5,2013,Azul,Polônia,25250,232553,Usado
Mercedes,Classe A,2008,Vermelho,Reino Unido,15507,143219,Usado
Renault,Clio,2006,Cinza,Alemanha,50629,238629,Usado
Volkswagen,Polo,2000,Branco,Alemanha,16528,116646,Usado
Audi,Q5,2000,Branco,Polônia,47208,140251,Usado
Ford,Mondeo,2007,Branco,Reino Unido,26714,14846,Usado
Audi,Q5,2014,Branco,Polônia,59580,159581,Usado
Volkswagen,Tiguan,2020,Preto,Reino Unido,53394,225580,Usado
Peugeot,208,2018,Preto,Alemanha,41557,31457,Usado
Peugeot,208,2010,Preto,França,44470,243008,Usado
BMW,Serie 5,2010,Branco,Espanha,55196,114153,Usado
Renault,Megane,2021,Cinza,Itália,20211,176668,Usado
Ford,Mondeo,2006,Cinza,Espanha,20175,120190,Usado
Peugeot,208,2013,Azul,Países Baixos,54200,174319,Usado
Mercedes,Classe A,2008,Prata,Reino Unido,55654,24994,Usado
Peugeot,3008,2007,Branco,Reino Unido,12401,101843,Usado
Mercedes,GLC,2012,Cinza,Reino Unido,42215,249625,Usado
Volkswagen,Passat,2006,Preto,Polônia,12989,75603,Usado
BMW,X3,2000,Prata,Espanha,12172,85486,Usado
Audi,Q5,2020,Cinza,França,24204,11615,Usado
Volkswagen,Passat,2012,Azul,França,13518,239783,Usado
Ford,Kuga,2010,Azul,Espanha,49904,10697,Usado
Audi,Q3,2013,Branco,Polônia,9551,163814,Usado
Ford,Focus,2010,Azul,Espanha,12673,223630,Usado
Renault,Clio,2010,Verde,Alemanha,13397,14472,Usado
Audi,Q3,2022,Cinza,Espanha,25421,134368,Usado
BMW,X3,2003,Vermelho,Portugal,56421,197118,Usado
Peugeot,3008,2018,Prata,Reino Unido,58605,238172,Usado
Mercedes,Classe A,2009,Vermelho,Polônia,54890,242859,Usado
Audi,A3,2003,Preto,Portugal,57332,96282,Usado
Audi,Q5,2008,Preto,Países Baixos,21094,122032,Usado
Mercedes,Classe C,2020,Preto,Países Baixos,31526,122046,Usado
Audi,Q3,2005,Preto,Reino Unido,25533,159302,Usado
Volkswagen,Passat,2017,Preto,Países Baixos,32623,133194,Usado
Audi,A4,2016,Branco,Portugal,17031,203288,Usado
Audi,Q5,2020,Vermelho,Portugal,5984,248017,Usado
Ford,Fiesta,2020,Cinza,Polônia,12204,247916,Usado
Fiat,Tipo,2022,Prata,Países Baixos,39864,189265,Usado
Mercedes,GLA,2021,Verde,Países Baixos,9797,190860,Usado
Ford,Fiesta,2010,Vermelho,Alemanha,35135,109912,Usado
Fiat,Tipo,2016,Preto,Alemanha,20047,104270,Usado
Fiat,500,2017,Azul,Países Baixos,20276,196184,Usado
Volkswagen,Polo,2006,Prata,Espanha,19720,165333,Usado
Mercedes,Classe C,2011,Branco,Portugal,42611,108493,Usado
Ford,Kuga,2004,Cinza,Itália,6180,118248,Usado
Audi,A4,2007,Prata,Alemanha,21769,80316,Usado
Audi,Q3,2012,Vermelho,Portugal,47568,201685,Usado
Mercedes,GLA,2002,Cinza,Alemanha,20722,57446,Usado
Fiat,Panda,2015,Cinza,Espanha,30396,168295,Usado
Mercedes,Classe C,2010,Cinza,França,51453,79406,Usado
Fiat,Tipo,2019,Branco,Alemanha,38596,113619,Usado
Volkswagen,Passat,2019,Cinza,Itália,30908,29482,Usado
Volkswagen,Tiguan,2008,Preto,Portugal,35997,228877,Usado
Fiat,Tipo,2010,Branco,Alemanha,21899,34201,Usado
Ford,Focus,2014,Branco,Alemanha,22470,134717,Usado
BMW,X1,2001,Cinza,Países Baixos,51237,101159,Usado
Mercedes,Classe C,2012,Vermelho,Polônia,35781,37016,Usado
BMW,Serie 5,2022,Azul,Alemanha,8506,6098,Usado
Peugeot,3008,2004,Preto,Polônia,47467,35775,Usado
Ford,Kuga,2007,Prata,Reino Unido,3579,66689,Usado
Ford,Kuga,2014,Branco,Polônia,46948,160387,Usado
BMW,Serie 3,2005,Cinza,França,51263,20183,Usado
Peugeot,5008,2020,Branco,Polônia,57027,76343,Usado
Audi,Q3,2009,Branco,França,10023,180518,Usado
Mercedes,GLA,2002,Verde,Itália,12251,180049,Usado
Peugeot,3008,2010,Branco,França,59250,197539,Usado
Volkswagen,Polo,2009,Branco,Portugal,57077,196071,Usado
BMW,X3,2017,Azul,Alemanha,12688,91681,Usado
Peugeot,208,2011,Preto,Alemanha,17583,105338,Usado
Audi,Q5,2022,Vermelho,Países Baixos,55989,6426,Usado
Peugeot,3008,2010,Prata,Alemanha,19422,32288,Usado
Mercedes,GLA,2006,Branco,França,22215,167100,Usado
BMW,X3,2006,Cinza,França,29625,123234,Usado
Peugeot,308,2001,Vermelho,Alemanha,22307,113592,Usado
Fiat,Punto,2001,Preto,Espanha,21239,67230,Usado
Audi,Q5,2015,Azul,Polônia,19492,62408,Usado
Mercedes,Classe A,2000,Cinza,Espanha,29008,64478,Usado
Volkswagen,Passat,2009,Branco,Portugal,19854,186889,Usado
Renault,Captur,2013,Branco,Polônia,49391,182355,Usado
Renault,Talisman,2008,Branco,Polônia,55925,115857,Usado
Ford,Focus,2022,Vermelho,Itália,45888,23451,Usado
Renault,Clio,2020,Vermelho,Portugal,46074,142580,Usado
BMW,Serie 1,2002,Verde,Alemanha,38999,118455,Usado
Fiat,Punto,2017,Preto,França,28797,92248,Usado
Peugeot,308,2001,Azul,Alemanha,45917,179336,Usado
Ford,Focus,2008,Preto,Portugal,40888,14374,Usado
Peugeot,3008,2002,Azul,Espanha,3764,62115,Usado
Renault,Megane,2003,Preto,França,22386,69195,Usado
Audi,Q3,2003,Branco,Portugal,6195,247775,Usado
Fiat,Punto,2019,Branco,Países Baixos,9841,125844,Usado
Volkswagen,Passat,2019,Cinza,França,27682,201104,Usado
Ford,Mondeo,2002,Preto,Alemanha,48769,59968,Usado
Peugeot,5008,2014,Vermelho,Portugal,44719,137718,Usado
Fiat,Punto,2007,Prata,Portugal,19945,126147,Usado
Audi,Q3,2011,Vermelho,Alemanha,23119,47516,Usado
BMW,Serie 5,2012,Verde,França,19300,202284,Usado
Audi,A3,2008,Prata,Países Baixos,4340,30205,Usado
Fiat,Panda,2017,Cinza,Polônia,35935,197421,Usado
Peugeot,208,2012,Cinza,Reino Unido,4497,136614,Usado
Audi,A4,2019,Cinza,Itália,7302,49453,Usado
Mercedes,GLC,2013,Vermelho,Reino Unido,36441,106824,Usado
Peugeot,5008,2010,Preto,Espanha,58017,68208,Usado
BMW,Serie 1,2003,Verde,Portugal,35636,96836,Usado
Fiat,Tipo,2011,Branco,Reino Unido,47181,77285,Usado
Volkswagen,Passat,2003,Verde,Espanha,9733,75341,Usado
Fiat,Panda,2004,Azul,Alemanha,28175,99217,Usado
Audi,Q5,2005,Preto,Reino Unido,18791,191062,Usado
Peugeot,5008,2006,Cinza,Portugal,34636,199669,Usado
Ford,Mondeo,2014,Branco,Reino Unido,16859,155870,Usado
Peugeot,3008,2022,Preto,França,32691,153883,Usado
Audi,A4,2003,Branco,Países Baixos,47234,72910,Usado
Mercedes,Classe C,2009,Vermelho,Países Baixos,49077,186607,Usado
Peugeot,208,2006,Cinza,Itália,5270,80883,Usado
Fiat,Punto,2000,Azul,Polônia,54467,148552,Usado
Renault,Talisman,2005,Cinza,Polônia,55940,99717,Usado
Fiat,Punto,2009,Azul,França,33545,136333,Usado
Ford,Mondeo,2019,Preto,Países Baixos,23343,218377,Usado
Ford,Fiesta,2010,Preto,Espanha,49722,39574,Usado
Ford,Mondeo,2010,Cinza,Alemanha,37368,90607,Usado
BMW,X3,2000,Preto,Espanha,31826,82322,Usado
BMW,Serie 5,2021,Preto,Itália,17048,33728,Usado
Mercedes,GLA,2017,Branco,França,55908,9528,Usado
Volkswagen,Polo,2006,Vermelho,Reino Unido,37051,205699,Usado
Peugeot,308,2019,Vermelho,França,55664,11415,Usado
Mercedes,GLC,2008,Preto,Espanha,38022,6140,Usado
Fiat,Panda,2013,Vermelho,França,53937,184500,Usado
Volkswagen,Tiguan,2021,Preto,Portugal,27646,78467,Usado
Fiat,Punto,2020,Branco,Alemanha,57241,160556,Usado
BMW,X1,2013,Branco,Itália,46412,124396,Usado
BMW,Serie 1,2019,Prata,Portugal,13179,73557,Usado
Audi,A3,2010,Prata,Países Baixos,43384,231683,Usado
Audi,A3,2019,Preto,Espanha,25468,197772,Usado
Volkswagen,Polo,2009,Verde,Portugal,13637,114340,Usado
Renault,Megane,2020,Vermelho,França,53979,227705,Usado
Ford,Focus,2012,Branco,Alemanha,26715,107222,Usado
Volkswagen,Golf,2017,Preto,Reino Unido,4710,208936,Usado
Mercedes,Classe C,2000,Branco,Espanha,37671,167794,Usado
Renault,Captur,2009,Preto,França,53311,25637,Usado
Fiat,Panda,2002,Cinza,Itália,21780,247057,Usado
Renault,Talisman,2017,Preto,Itália,53638,32722,Usado
Audi,A3,2022,Vermelho,Reino Unido,38003,34617,Usado
Volkswagen,Golf,2000,Cinza,Portugal,57166,121912,Usado
Ford,Fiesta,2017,Branco,Alemanha,35070,44310,Usado
Mercedes,GLA,2008,Preto,Portugal,23404,215148,Usado
Volkswagen,Golf,2009,Prata,Portugal,56497,151501,Usado
Ford,Mondeo,2002,Azul,Itália,7010,57071,Usado
Volkswagen,Tiguan,2010,Branco,Espanha,6115,163197,Usado
Fiat,Panda,2016,Preto,Alemanha,14377,162442,Usado
Peugeot,308,2012,Prata,Espanha,33734,122284,Usado
BMW,Serie 1,2017,Preto,França,31752,230582,Usado
BMW,Serie 1,2002,Azul,Portugal,14254,232568,Usado
Volkswagen,Passat,2015,Azul,Países Baixos,56492,113299,Usado
Mercedes,GLA,2008,Cinza,Países Baixos,59248,62554,Usado
Fiat,Panda,2001,Branco,Espanha,36284,198305,Usado
Renault,Captur,2019,Vermelho,Reino Unido,26989,117463,Usado
BMW,Serie 3,2012,Azul,Polônia,13006,248092,Usado
Ford,Mondeo,2003,Azul,França,25631,31996,Usado
Volkswagen,Polo,2006,Vermelho,Reino Unido,7330,88645,Usado
BMW,Serie 1,2017,Branco,Países Baixos,19085,36444,Usado
Audi,Q3,2004,Vermelho,Polônia,48246,158570,Usado
Fiat,500,2016,Preto,Países Baixos,11348,98491,Usado
Fiat,Tipo,2002,Cinza,Portugal,33770,104585,Usado
Peugeot,5008,2008,Preto,Espanha,19034,70527,Usado
Mercedes,GLC,2015,Branco,Polônia,32904,41820,Usado
Renault,Captur,2016,Preto,Países Baixos,36509,9409,Usado
BMW,X1,2007,Prata,Portugal,10989,62201,Usado
Volkswagen,Golf,2016,Branco,Países Baixos,45013,154099,Usado
Peugeot,308,2021,Cinza,Portugal,57653,179062,Usado
Peugeot,208,2007,Branco,França,29238,109645,Usado
Audi,A3,2013,Prata,França,7982,85824,Usado
Ford,Mondeo,2009,Cinza,Países Baixos,20968,218561,Usado
Renault,Megane,2022,Azul,Reino Unido,19728,225470,Usado
Renault,Captur,2012,Prata,Portugal,56397,214640,Usado
Mercedes,Classe C,2002,Verde,Polônia,17710,74111,Usado
Ford,Kuga,2014,Branco,Reino Unido,41148,87931,Usado
Audi,Q5,2004,Branco,Itália,36628,31010,Usado
Ford,Fiesta,2009,Preto,Polônia,42528,51433,Usado
Mercedes,Classe C,2019,Branco,França,20441,233466,Usado
Fiat,500,2017,Cinza,Polônia,39135,222259,Usado
Renault,Captur,2006,Branco,França,56577,159953,Usado
Fiat,Punto,2011,Cinza,Portugal,15441,21093,Usado
Mercedes,GLC,2018,Preto,Itália,42857,223751,Usado
BMW,Serie 3,2005,Cinza,Alemanha,52960,175395,Usado
Audi,Q5,2013,Prata,Alemanha,51367,166352,Usado
Peugeot,208,2010,Branco,Itália,11901,153769,Usado
BMW,X1,2013,Branco,Espanha,43113,181734,Usado
Peugeot,208,2022,Cinza,Espanha,27984,86115,Usado
Audi,Q5,2018,Cinza,Espanha,38221,96694,Usado
Fiat,500,2001,Vermelho,Polônia,52113,100306,Usado
Volkswagen,Tiguan,2021,Preto,Alemanha,51558,101187,Usado
BMW,X1,2021,Branco,Alemanha,41654,46425,Usado
BMW,Serie 1,2016,Preto,Espanha,8165,131343,Usado
Peugeot,3008,2008,Preto,França,9333,69694,Usado
BMW,X3,2010,Preto,França,18711,80093,Usado
Renault,Clio,2001,Branco,Itália,43741,119782,Usado
Volkswagen,Tiguan,2020,Prata,Polônia,26730,160505,Usado
Fiat,500,2013,Azul,Alemanha,35828,249572,Usado
Ford,Fiesta,2001,Azul,Reino Unido,51461,217273,Usado
Audi,A4,2017,Branco,Espanha,59897,45776,Usado
Audi,Q5,2011,Cinza,França,29506,104200,Usado
Peugeot,3008,2005,Branco,Países Baixos,43977,176390,Usado
Mercedes,GLA,2012,Cinza,Reino Unido,10675,233543,Usado
Fiat,Tipo,2001,Preto,Alemanha,19848,183148,Usado
Peugeot,208,2003,Preto,Polônia,59709,180432,Usado
BMW,Serie 1,2006,Branco,França,50999,217941,Usado
Ford,Fiesta,2001,Cinza,Espanha,26828,79910,Usado
Audi,Q3,2020,Branco,Polônia,49393,155679,Usado
Peugeot,5008,2008,Cinza,França,57948,191750,Usado
Peugeot,208,2013,Vermelho,Países Baixos,28726,193783,Usado
Ford,Mondeo,2004,Preto,Alemanha,48123,202659,Usado
Ford,Mondeo,2010,Azul,França,37042,89309,Usado
Audi,Q5,2022,Prata,França,29756,17132,Usado
Peugeot,5008,2001,Prata,França,36843,118350,Usado
Ford,Mondeo,2002,Preto,Reino Unido,24525,165472,Usado
Audi,A3,2022,Vermelho,Reino Unido,13760,29937,Usado
Mercedes,Classe A,2020,Branco,Reino Unido,27915,107885,Usado
Renault,Clio,2015,Preto,Reino Unido,6813,27857,Usado
Renault,Clio,2008,Azul,França,40311,212751,Usado
Volkswagen,Passat,2020,Preto,Alemanha,43635,164009,Usado
Renault,Talisman,2015,Verde,Reino Unido,52739,76681,Usado
Audi,Q3,2017,Vermelho,Espanha,48041,117365,Usado
BMW,X3,2011,Preto,Espanha,33487,223653,Usado
Volkswagen,Tiguan,2009,Branco,Espanha,36818,115774,Usado
Renault,Captur,2000,Branco,Países Baixos,49535,208339,Usado
Renault,Talisman,2001,Cinza,Espanha,36290,46530,Usado
Mercedes,Classe C,2011,Branco,Portugal,33689,68381,Usado
BMW,X1,2005,Cinza,Portugal,12038,229576,Usado
Audi,Q5,2017,Azul,Espanha,7958,120773,Usado
Renault,Talisman,2000,Branco,Polônia,43594,149378,Usado
Renault,Megane,2018,Branco,Polônia,15981,195562,Usado
Fiat,Tipo,2017,Branco,Reino Unido,41329,72830,Usado
Volkswagen,Golf,2008,Prata,Alemanha,41371,56523,Usado
BMW,Serie 5,2015,Preto,Itália,34989,156014,Usado
Volkswagen,Golf,2020,Verde,Itália,56864,226282,Usado
Mercedes,GLC,2019,Prata,Alemanha,43618,176953,Usado
Mercedes,Classe C,2002,Preto,Itália,29073,43286,Usado
Ford,Kuga,2011,Cinza,Espanha,51560,124040,Usado
Mercedes,GLA,2014,Preto,Itália,58900,124002,Usado
Audi,A3,2006,Branco,Países Baixos,43942,166494,Usado
Fiat,Punto,2002,Cinza,Portugal,39418,234622,Usado
Ford,Kuga,2018,Branco,Alemanha,49485,213401,Usado
Fiat,Tipo,2022,Prata,Itália,45475,140673,Usado
Mercedes,GLA,2020,Preto,Polônia,26759,234332,Usado
